Qty,Reference(s),Value,Alternative,Comment,Manufacturer
41,"BF1, BF2, BF3, BF4, BF5, BF6, BF7, BF8, BF9, BF10, BF11, BF12, BF13, BF14, BF15, BF16, BF17, BF18, BF19, BF20, BF21, BF22, BF23, BF24, BF25, BF26, BF27, BF28, BF29, BF30, BF31, BF32, BF51, BF52, BF53, BF54, BF55, BF56, BF301, BF302, BF303",ZBF253D,,,
19,"C1, C2, C4, C5, C6, C7, C8, C11, C12, C20, C24, C25, C32, C34, C35, C41, C49, C113, C301",10uF,,,
1,C3,68pF,,,
7,"C9, C10, C36, C37, C38, C39, C46",470uF/16v,,,
2,"C13, C14",272M,,,
2,"C22, C23",1nF,,,
3,"C26, C27, C28",0.1uF,,,
1,C29,100pF (82p),,,
2,"C30, C45",0.01uF,,,
1,C31,39pF (30pF),,,
6,"C33, C42, C58, C59, C60, C201",100pF,,,
1,C43,47pF,,,
3,"C44, C50, C70",10nF,,,
1,C47,2200uF/6.3v,,,
1,C48,150pF,,,
27,"C51, C63, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C127",100nF,,,
2,"C52, C54",30pF(CH),,,
1,C53,6pF,,,
1,C55,20pF(CH),,,
2,"C56, C67",220pF,,,
1,C57,331pF,,,
2,"C61, C62",221pF,,,
1,C64,10pF(CH),,,
1,C65,39pF (CH),,,
1,C126,100uF,,,
1,CN1,CTRL1,,Use Original,
1,CN2,CTRL2,,Use Original,
1,CN3,DIN-8,,Use Original,
2,"CN4, CN5",AXC90020,,,
1,CN6,5535653-1,,5535653-1,
5,"CR1, CR2, CR3, CR4, CR5",CRE401,https://github.com/mourix/CRE401,,
2,"D1, D2",SR340,,Not Fitted when 5v Circuit,
2,"D3, D4",FC52M-5,LV2209,Use Original,
1,D5,LED,,,
1,J3,SMK S-G8043,,,
1,J4,POWER JACK,,,
1,JP3,J3,,,
1,L1,47uH,,,
1,L2,47uH,,,
1,L3,180uH,,Not Fitted when 5v Circuit,HP-022J
2,"Q101, Q102",2SC1815,,,
16,"R1, R2, R3, R32, R36, R37, R38, R39, R40, R41, R42, R43, R45, R54, R55, R301",1K,,,
3,"R4, R5, R6",8.2K,,,
3,"R7, R11, R15",3.9K,,,
3,"R8, R12, R16",2.2K,,,
4,"R9, R13, R17, R66",470,,,
3,"R10, R14, R18",220,,,
3,"R19, R20, R21",150,,,
4,"R28, R57, R68, R303",10K,,,
1,R29,47,,,
2,"R30, R31",4.7K,,,
2,"R33, R34",10,,,
3,"R46, R49, R53",27K,,,
2,"R47, R48",47K,,,
4,"R50, R51, R52, R75",3K,,,
1,R56,820,,,
3,"R58, R59, R60",6.8K,,,
6,"R62, R63, R64, R65, R401, R501",75,,,
2,"R70, R72",1M,,,
1,R71,10,,,
1,R74,220K,,,
1,R76,1K,,Not Fitted when 9v Circuit,
2,"R101, R102",100K,,,
1,R302,30K,,,
2,"R402, R502",51K,,,
2,"R403, R503",15K,,,
2,"R5814, R5863",0,,Fitted if ,
1,RA1,4.7Kx4,,,
2,"RN1, RN2",22x4,,,
1,RV1,Headphone Slider (0-1K),,Use Original,
1,SW1,RESET SWITCH,,Use Original,
1,SW2,POWER SWITCH,,Use Original,
1,T1,SH-302,,,
1,TC1,0-50p,,Use Original,
4,"U1, U2, U17, U18",uPD43256AGU-12L,,Use Original,
1,U3,HD68HC000P,,Use Original,
1,U4,NEO-C1,,Use Original,
1,U5,NEO-G0,,Use Original,
2,"U6, U7",uPD4364CX-12,,Use Original,
2,"U8, U80",74HC04,,,
2,"U9, U10",74LS273,,,
1,U11,74LS05,,,
1,U12,74LS06,,,
1,U13,NEO-B1,,Use Original,
1,U14,PST518B,,Use Original,
1,U15,74LS244,,,
1,U16,TC531000AP,,Use Original,
2,"U19, U20",CXK5864P-35,,Use Original,
1,U21,LSPC2,,Use Original,
1,U22,NEO-D0,,Use Original,
1,U23,HM6116ASP-20,,Use Original,
1,U24,Z80CPU,,Use Original,
1,U26,YM3016D,,Use Original,
1,U27,YM2610,,Use Original,
2,"U28, U29",PC4741,,Use Original,
1,U32,CXA1145P,,Use Original,
1,U33,74AS04,,,
1,U34,NEO-E0,,Use Original,
1,U35,74HC259,,,
1,U36,27C1024,,Use Original,
1,U37,LM2576T-5,https://www.aliexpress.com/item/1005004285746293.html,Not Fitted when 5v Circuit,
1,U38,74HC32,,,
1,U39,CX23065A,,Use Original,
1,X1,24.167829MHz,,Use Original,
1,X2,3.579545MHz,,,
