Item,Qty,Reference(s),Value,Mouser,Alternative,Comment
1,41,"BF1, BF2, BF3, BF4, BF5, BF6, BF7, BF8, BF9, BF10, BF11, BF12, BF13, BF14, BF15, BF16, BF17, BF18, BF19, BF20, BF21, BF22, BF23, BF24, BF25, BF26, BF27, BF28, BF29, BF30, BF31, BF32, BF51, BF52, BF53, BF54, BF55, BF56, BF301, BF302, BF303",ZBF253D,80-B-06-R-25,,
2,19,"C1, C2, C4, C5, C6, C7, C8, C11, C12, C20, C24, C25, C32, C34, C35, C41, C49, C113, C301",10uF,667-ECA-1CM100I,,
3,1,C3,68pF,810-FG28C0G2A680JNT6,,
4,7,"C9, C10, C36, C37, C38, C39, C46",470uF/16v,647-UHE1C471MPD6,,
5,2,"C13, C14",272M,80-MMK5272K63J01TA18,,
6,2,"C22, C23",1nF,810-FG28C0G1H102JNT6,,
7,3,"C26, C27, C28",0.1uF,810-FG26C0G1H104JNT0,,
8,1,C29,100pF (82p),810-FG28C0G1H101JNT6,,
9,2,"C30, C45",0.01uF,810-FG28C0G1H103JNT0,,
10,1,C31,39pF (30pF),810-FG28C0G1H390JNT6,,
11,6,"C33, C42, C58, C59, C60, C201",100pF,810-FG28C0G1H101JNT6,,
12,1,C43,47pF,810-FG28C0G1H101JNT6,,
13,3,"C44, C50, C70",10nF,810-FG28C0G1H103JNT0,,
14,1,C47,2200uF/6.3v,667-EEU-FC0J222S,,
15,1,C48,150pF,810-FG28C0G1H151JNT6,,
16,27,"C51, C63, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C127",100nF,810-FG26C0G1H104JNT0,,
17,2,"C52, C54",30pF(CH),80-C322C300K3G5TA,,
18,1,C53,6pF,810-FG28C0G1H060DNT6,,
19,1,C55,20pF(CH),80-C317C200J5G,,
20,2,"C56, C67",220pF,810-FG28C0G1H221JNT0,,
21,1,C57,331pF,810-FG28C0G1H331JNT6,,
22,2,"C61, C62",221pF,810-FG28C0G1H221JNT0,,
23,1,C64,10pF(CH),810-FG28C0G1H100DNT6,,
24,1,C65,39pF (CH),810-FG28C0G1H390JNT6,,
25,1,C126,100uF,667-ECA-1CM101I,,
26,1,CN1,CTRL1,,,Use Original
27,1,CN2,CTRL2,,,Use Original
28,1,CN3,DIN-8,,,Use Original
29,2,"CN4, CN5",AXC90020,587-395-100-524-204,,
30,1,CN6,5535653-1,571-5535653-1,,5535653-1
31,5,"CR1, CR2, CR3, CR4, CR5",CRE401,,https://github.com/mourix/CRE401,
32,2,"D1, D2",SR340,583-SR340-T,,Not Fitted when 5v Circuit
33,2,"D3, D4",FC52M-5,,,Use Original
34,1,D5,LED,604-WP7113ID5V,,
35,1,J3,SMK S-G8043,,,
36,1,J4,POWER JACK,490-PJ-102B,,
37,1,JP3,J3,,,
38,1,L1,47uH,530-SFAPI-470K-UL,,
39,1,L2,47uH,530-SFAPI-470K-UL,,
40,1,L3,180uH,,,Not Fitted when 5v Circuit
41,2,"Q101, Q102",2SC1815,610-2SC1815,,
42,16,"R1, R2, R3, R32, R36, R37, R38, R39, R40, R41, R42, R43, R45, R54, R55, R301",1K,71-CMF501K0000FHEA,,
43,3,"R4, R5, R6",8.2K,71-RN60D-F-8.2K,,
44,3,"R7, R11, R15",3.9K,71-RN60D3901F,,
45,3,"R8, R12, R16",2.2K,71-RN60D2201F,,
46,4,"R9, R13, R17, R66",470,71-RN60C4700F,,
47,3,"R10, R14, R18",220,71-RN60D2200F,,
48,3,"R19, R20, R21",150,71-RN60E1500F,,
49,4,"R28, R57, R68, R303",10K,71-RN60E1002F,,
50,1,R29,47,71-RN60D47R0F,,
51,2,"R30, R31",4.7K,71-RN60D4701F,,
52,2,"R33, R34",10,71-CMF5010R000FHEK,,
53,3,"R46, R49, R53",27K,71-RN60D-F-27K,,
54,2,"R47, R48",47K,71-RN60D4702F,,
55,4,"R50, R51, R52, R75",3K,71-RN60D3001F,,
56,1,R56,820,71-RN60D8200F,,
57,3,"R58, R59, R60",6.8K,71-RN60D6801F,,
58,6,"R62, R63, R64, R65, R401, R501",75,71-CMF5075R000FHEB,,
59,2,"R70, R72",1M,71-RN60D-F-1M/R,,
60,1,R71,10,71-CMF5010R000FHEK,,
61,1,R74,220K,71-RN60D2203F,,
62,1,R76,1K,,,Not Fitted when 9v Circuit
63,2,"R101, R102",100K,71-RN60E1003F,,
64,1,R302,30K,71-RN60D-F-30K,,
65,2,"R402, R502",51K,71-RN60D5102F,,
66,2,"R403, R503",15K,71-CMF5015K000FHEK,,
67,2,"R5814, R5863",0,,,
68,1,RA1,4.7Kx4,652-4605X-1LF-47K,,
69,2,"RN1, RN2",22x4,652-4608X-2LF-22,,
70,1,RV1,Headphone Slider (0-1K),,,Use Original
71,1,SW1,RESET SWITCH,,,Use Original
72,1,SW2,POWER SWITCH,,,Use Original
73,1,T1,SH-302,80-SH-302,,
74,1,TC1,0-50p,,,Use Original
